county_fips,eji_score
01001,0.3582764705882353
01003,0.3593860465116279
01005,0.7434777777777778
01007,0.691575
01009,0.565175
01011,0.717475
01013,0.6921222222222222
01015,-78.26771578947368
01017,0.7318333333333333
01019,0.6208625
01021,0.6168
01023,0.7152999999999999
01025,0.7479777777777777
01027,0.669225
01029,0.62965
01031,0.52550625
01033,0.6794399999999999
01035,0.68728
01037,0.5749
01039,0.6387
01041,0.6892833333333334
01043,0.5560363636363636
01045,0.6801928571428572
01047,0.7046058823529412
01049,0.6384809523809525
01051,0.389745
01053,0.81861
01055,0.7229363636363636
01057,0.7817000000000001
01059,0.6661
01061,0.6889666666666666
01063,0.801575
01065,0.6306857142857142
01067,0.7032333333333334
01069,0.623026923076923
01071,0.73126875
01073,0.6305619047619048
01075,0.73865
01077,0.527523076923077
01079,0.5691363636363637
01081,0.37302083333333336
01083,0.45086956521739135
01085,0.7550749999999999
01087,0.6863416666666667
01089,0.33705684210526315
01091,0.668025
01093,0.6932727272727273
01095,0.5508
01097,-14.196173333333334
01099,0.7245
01101,0.5675732394366197
01103,0.5249709677419355
01105,0.6792750000000001
01107,0.6534166666666666
01109,0.5831727272727273
01111,0.6206
01113,0.7019333333333333
01115,0.4410083333333333
01117,-36.01981818181818
01119,0.72008
01121,0.7588541666666666
01123,0.7045499999999999
01125,0.5184305084745763
01127,0.806125
01129,0.7021
01131,0.7397
01133,0.6739125
02013,-999.0
02016,-999.0
02020,-999.0
02050,-999.0
02060,-999.0
02063,-999.0
02066,-999.0
02068,-999.0
02070,-999.0
02090,-999.0
02100,-999.0
02105,-999.0
02110,-999.0
02122,-999.0
02130,-999.0
02150,-999.0
02158,-999.0
02164,-999.0
02170,-999.0
02180,-999.0
02185,-999.0
02188,-999.0
02195,-999.0
02198,-999.0
02220,-999.0
02230,-999.0
02240,-999.0
02275,-999.0
02282,-999.0
02290,-999.0
04001,0.7267555555555556
04003,0.5033184210526316
04005,-76.50788717948718
04007,0.6508125
04009,0.4231111111111111
04011,0.44813333333333333
04012,-82.729475
04013,-17.40925550049554
04015,0.5405560606060605
04017,0.6146675675675676
04019,-21.801909259259258
04021,-10.045594736842105
04023,0.5929142857142857
04025,0.4350152777777778
04027,-44.20143134328358
05001,0.665
05003,0.8395857142857144
05005,0.64178
05007,0.35577543859649124
05009,0.6877285714285714
05011,0.78368
05013,0.9056
05015,0.597575
05017,0.847625
05019,0.75045
05021,0.7406333333333334
05023,0.5855222222222223
05025,0.6497999999999999
05027,0.7920285714285714
05029,0.8094
05031,0.5399
05033,0.6647133333333334
05035,0.779125
05037,0.7650333333333333
05039,0.7351
05041,0.8525
05043,0.66934
05045,0.4669214285714286
05047,0.80268
05049,0.753875
05051,0.65595
05053,0.4929
05055,0.728725
05057,0.8463999999999999
05059,0.7367222222222222
05061,0.9376333333333333
05063,0.7583599999999999
05065,0.7662249999999999
05067,0.7815333333333333
05069,-40.86315
05071,0.8600833333333333
05073,0.9099333333333334
05075,0.7600333333333333
05077,0.80375
05079,0.7390749999999999
05081,0.7523833333333334
05083,0.76835
05085,0.5877388888888889
05087,0.68615
05089,0.68008
05091,0.8322642857142857
05093,0.7865428571428571
05095,0.8803666666666666
05097,0.7187666666666667
05099,0.8478333333333333
05101,0.5568500000000001
05103,0.85555
05105,0.791
05107,0.863642857142857
05109,0.6594
05111,0.765875
05113,0.8859571428571428
05115,0.6605176470588235
05117,0.7759
05119,-8.720531775700934
05121,0.7762800000000001
05123,0.8649428571428571
05125,0.36755333333333334
05127,0.8466666666666667
05129,0.7501000000000001
05131,0.7531645161290322
05133,0.881775
05135,0.6867833333333334
05137,0.760025
05139,0.8610833333333333
05141,0.7072333333333334
05143,0.4400351851851852
05145,0.6534263157894737
05147,0.9066000000000001
05149,0.8297833333333333
06001,-2.246134391534391
06003,0.6169
06005,0.65891
06007,0.7000333333333333
06009,0.52315
06011,0.7855500000000001
06013,-3.7994012448132777
06015,0.5969625
06017,-17.798854545454546
06019,0.7055777777777777
06021,0.7843
06023,0.6173
06025,0.76901
06027,0.5363
06029,-16.27010593220339
06031,-63.78960322580645
06033,0.6629095238095237
06035,0.6204111111111111
06037,-10.564938156312625
06039,0.7375941176470588
06041,-15.877996774193548
06043,0.62485
06045,0.6813956521739131
06047,0.7980698412698413
06049,0.819875
06051,0.4223
06053,-28.654388349514562
06055,0.405425
06057,0.5147961538461538
06059,-1.126584339314845
06061,-10.474697826086956
06063,0.5792571428571429
06065,-3.3263332046332046
06067,0.6024471074380165
06069,0.35785
06071,-7.9498939914163085
06073,-6.356144293478261
06075,-12.019321487603305
06077,-5.079216091954023
06079,-28.622356521739132
06081,-5.464040462427746
06083,-18.00669537037037
06085,0.3855411764705883
06087,0.3976695652173913
06089,0.686898
06091,0.7571
06093,0.76859375
06095,-19.576431
06097,0.37481157024793393
06099,0.7143357142857143
06101,0.7285761904761905
06103,0.8385785714285714
06105,0.750175
06107,-8.908252427184467
06109,-54.91825
06111,-4.816362433862434
06113,0.4732490566037736
06115,0.7039210526315789
08001,-8.805988785046729
08003,0.429
08005,0.3352360248447205
08007,0.31624
08009,0.7404
08011,0.8337000000000001
08013,0.31648461538461536
08014,-124.64105416666666
08015,0.3619333333333334
08017,0.544
08019,0.303975
08021,0.54545
08023,0.66045
08025,0.4789
08027,0.34945
08029,0.5416666666666666
08031,-10.775279213483147
08033,0.3831
08035,0.07496944444444445
08037,0.0797875
08039,0.1743142857142857
08041,0.3357784431137724
08043,-199.35164
08045,0.30195833333333333
08047,0.17835
08049,0.19905000000000003
08051,0.12401666666666666
08053,0.1463
08055,0.6975333333333333
08057,0.7676
08059,-27.064889726027396
08061,0.7382
08063,0.58985
08065,0.2154666666666667
08067,0.28023333333333333
08069,0.3377046511627907
08071,0.5748166666666666
08073,0.581
08075,0.5700285714285714
08077,0.47291818181818185
08079,0.1935
08081,0.679025
08083,0.47445
08085,0.49091666666666667
08087,0.6271875
08089,0.7325142857142858
08091,0.12255
08093,0.07748333333333333
08095,0.62435
08097,0.09805000000000001
08099,0.6493800000000001
08101,-33.90215517241379
08103,0.6473
08105,0.414675
08107,0.20789
08109,0.567
08111,0.3806
08113,0.13525
08115,0.785
08117,0.0598
08119,0.169625
08121,0.52325
08123,-11.526451807228916
08125,0.5728
09110,-19.55809076305221
09120,0.5831897435897435
09130,0.35938636363636367
09140,0.5199785714285714
09150,0.43431153846153847
09160,0.33642702702702704
09170,0.576334074074074
09180,-14.429813432835822
09190,0.4054344827586207
10001,-23.804321951219514
10003,-6.463857638888888
10005,-13.13011891891892
11001,-9.26575145631068
12001,0.4430413793103448
12003,0.4336
12005,0.46771020408163266
12007,0.7159333333333334
12009,-19.968585714285712
12011,-1.9958262019230768
12013,0.73905
12015,0.42994130434782607
12017,0.5269268292682927
12019,0.34347333333333335
12021,0.31221296296296297
12023,0.6831461538461538
12027,0.7770555555555556
12029,0.66348
12031,0.5191871559633028
12033,0.5511320512820513
12035,0.48374782608695654
12037,0.6686
12039,0.8544700000000001
12041,0.49006
12043,-199.21562
12045,0.56528
12047,0.7649333333333334
12049,0.712625
12051,-99.23810999999999
12053,0.4903304347826087
12055,-56.50133142857143
12057,-20.52226036036036
12059,0.5984999999999999
12061,-22.217238636363636
12063,0.6945076923076924
12065,0.70414
12067,0.7079666666666666
12069,0.4812133333333333
12071,-4.163788288288289
12073,-12.243949367088609
12075,0.57965
12077,-249.26125
12079,0.7721
12081,0.4469204301075269
12083,-20.97811182795699
12085,-23.289088095238096
12086,-12.2559940509915
12087,-35.34455714285714
12089,0.3595130434782609
12091,-20.492710416666664
12093,-82.610275
12095,-7.039192509363295
12097,0.4721627118644068
12099,-23.804304838709676
12101,0.5141207692307692
12103,0.475241391941392
12105,-5.077833333333333
12107,-58.00502352941176
12109,-19.743436
12111,-14.45725223880597
12113,0.29446388888888886
12115,0.3109877049180328
12117,0.40028651685393263
12119,-70.92468214285714
12121,0.7088727272727273
12123,0.7193142857142857
12125,0.5413250000000001
12127,0.5025496124031008
12129,0.3176125
12131,0.368705
12133,0.6704285714285714
13001,0.7124428571428572
13003,0.7792333333333333
13005,0.6666333333333333
13007,0.7575000000000001
13009,0.63305
13011,0.3563
13013,0.40418333333333334
13015,0.43445
13017,0.7254
13019,0.7756
13021,0.7076395833333334
13023,0.57865
13025,0.5586599999999999
13027,0.7386499999999999
13029,-110.73932222222221
13031,0.40303000000000005
13033,0.6206571428571428
13035,0.42060000000000003
13037,0.7249000000000001
13039,0.37520000000000003
13043,0.6848333333333333
13045,0.48334285714285713
13047,0.32360666666666665
13049,0.6023333333333333
13051,-11.016089655172413
13053,-199.46908000000002
13055,0.6807888888888889
13057,0.17639107142857144
13059,0.5033029411764707
13061,0.6778
13063,-13.60924
13065,0.87395
13067,0.2909983870967742
13069,0.665825
13071,0.70382
13073,0.327256
13075,0.8182600000000001
