county_fips,dc_records,dc_count,dc_sqft,dc_mean_lat,dc_mean_lon,dc_types
01069,3,1,32208.0,31.231919264148527,-85.45584902111706,building
01071,8,3,16025113.0,34.91370086433518,-85.74713044803279,"building, campus"
01073,3,1,1996707.0,33.404763148323205,-86.91146674830468,campus
01089,17,6,34329535.0,34.80757519996939,-86.64734371399321,"building, campus"
04003,3,1,22617.0,31.972674750030368,-110.30475169999993,building
04013,184,63,101704907.0,33.40182609220407,-111.89006061294772,"building, campus, point"
04019,3,1,43119.0,32.09270647207248,-110.78742365692074,building
05119,3,1,95535.0,34.75623266559112,-92.44472347210346,building
05145,3,1,13740.0,35.24921584140861,-91.74090583934436,building
06001,15,5,844992.0,37.60127183554359,-121.98741526386831,"building, point"
06013,3,1,0.0,37.971080899999976,-122.0437382,point
06037,27,10,1774627.0,34.08218510650081,-118.29029863192652,"building, campus, point"
06055,3,1,488373.0,38.254130656993,-122.27309718929534,building
06059,6,2,368169.0,33.71213874404603,-117.82494839903944,building
06065,3,1,0.0,33.9102899,-117.5030207,point
06067,15,5,2003652.0,38.63674130596184,-121.44871458284469,building
06073,15,5,675861.0,32.869276231599734,-117.15358862755257,"building, campus, point"
06075,12,4,536352.0,37.770232518747406,-122.39313737233256,"building, point"
06079,3,1,0.0,35.25531619999998,-120.64151280000003,point
06085,224,75,15376714.0,37.37246745471098,-121.95220999507748,"building, campus, point"
06095,3,1,165810.0,38.2462590213589,-122.06717674213962,building
06099,3,1,18051.0,37.665144766004126,-121.04003900542459,building
08001,3,1,258177.0,39.92244747126502,-104.98322815778526,building
08005,27,9,1528683.0,39.615819124292315,-104.83663122092015,"building, point"
08014,3,1,564480.0,39.98910970847666,-105.02064613177959,building
08031,9,3,205782.0,39.74559071390279,-104.98972741226727,"building, point"
08035,6,2,680712.0,39.559029074796136,-104.83555873038426,building
08041,12,4,1152543.0,38.89085735011269,-104.72106444175635,building
09110,3,1,0.0,41.7070776,-72.5898636,point
09120,3,1,404946.0,41.24080666570796,-73.14733698488439,building
