county_fips,max_aqi,p90_aqi,median_aqi,days_with_aqi,unhealthy_days,usg_days,pm25_mean,ozone_mean
01003,,,,,,,7.0182590000000005,0.04138375
01027,,,,,,,5.724993888888889,
01049,,,,,,,6.438047555555555,0.04605125
01051,,,,,,,,0.040266750000000004
01055,,,,,,,8.677266,0.0445005
01073,,,,,,,4.5073079969230765,0.04462808333333334
01079,,,,,,,0.41427404651162786,
01089,,,,,,,7.20770423076923,0.0438875
01097,,,,,,,8.076176111111112,0.040994875
01101,,,,,,,7.808058999999999,0.042178
01103,,,,,,,7.317051666666667,0.044427999999999995
01113,,,,,,,1.9820787590361446,0.0415
01117,,,,,,,,0.0435375
01119,,,,,,,5.850090888888889,0.03797575
01125,,,,,,,5.559704,0.040796
02013,,,,,,,0.156695,
02020,,,,,,,5.119358176470588,
02068,,,,,,,0.0818859069767442,0.0337395
02090,,,,,,,4.711325792682927,0.0250245
02110,,,,,,,5.050844235294117,
02122,,,,,,,0.1117420930232558,
02170,,,,,,,0.7090588846153847,
02185,,,,,,,0.08425625581395349,
04001,,,,,,,0.8468024576271187,
04003,,,,,,,0.18658355813953487,0.052027
04005,,,,,,,0.22385002325581393,0.04771875
04007,,,,,,,0.23602627906976742,0.054756624999999996
04012,,,,,,,4.249941777777778,0.05206025
04013,,,,,,,5.196630816901409,0.051773
04015,,,,,,,8.5191666,
04017,,,,,,,0.1900046511627907,
04019,,,,,,,1.3389382677824266,0.050137375
04021,,,,,,,8.645205702702702,0.049461625
04023,,,,,,,3.7341605833333333,
04025,,,,,,,0.21531076744186045,0.05294175
04027,,,,,,,7.8493216666666665,0.04682675
05001,,,,,,,8.814407,
05003,,,,,,,8.432499,
05019,,,,,,,,0.04167975
05035,,,,,,,7.95124,0.04524375
05051,,,,,,,9.024876999999998,
05067,,,,,,,7.7674164999999995,
05101,,,,,,,0.38719665116279073,0.04329875
05113,,,,,,,1.7266439215686276,0.039293
05119,,,,,,,4.806702508474576,0.039993625
05139,,,,,,,9.4744945,
05143,,,,,,,8.447826,0.043787
06001,,,,,,,6.39958103030303,0.0322511
06005,,,,,,,,0.04523125
06007,,,,,,,1.67412,0.044110250000000004
06009,,,,,,,5.483766666666667,0.04496375
06011,,,,,,,8.502340736842106,0.04289925
06013,,,,,,,6.850451277777778,0.032260250000000004
06015,,,,,,,0.9416487446808511,
06017,,,,,,,0.19664547674418606,0.05084475
06019,,,,,,,3.324571009174312,0.04747775
06021,,,,,,,5.540754,0.04152
06023,,,,,,,6.398432964285715,0.0327885
06025,,,,,,,4.227050482352941,0.0515620625
06027,,,,,,,4.015931850340136,0.042440875
06029,,,,,,,2.887439581896552,0.05079390625
06031,,,,,,,10.964717777777777,0.0472145
06033,,,,,,,3.234426,0.03604375
06037,,,,,,,5.564994609589042,0.05080297916666667
06039,,,,,,,9.080145555555553,0.04722075
06041,,,,,,,1.126879326923077,0.031497
06043,,,,,,,0.3698767638888889,0.049355875
06045,,,,,,,6.920191777777777,0.03310475
06047,,,,,,,7.5669245555555555,0.04824375
06051,,,,,,,1.2323233,
06053,,,,,,,5.5739318,0.03652416666666667
06057,,,,,,,3.8704641000000004,0.04890025
06059,,,,,,,3.3229877777777777,0.043209000000000004
06061,,,,,,,5.750435708333334,0.0444101
06063,,,,,,,3.1015028142857144,
06065,,,,,,,4.076858132022473,0.053754340909090904
06067,,,,,,,2.968208170854271,0.039154299999999996
06069,,,,,,,1.4513689615384615,0.041097375
06071,,,,,,,4.2512288186274505,0.05723902777777777
06073,,,,,,,5.65415871291866,0.04662852777777778
06075,,,,,,,6.689929222222222,0.0286555
06077,,,,,,,8.767613350000001,0.039998875
06079,,,,,,,4.97865525,0.041025375
06081,,,,,,,5.243291777777778,0.03115225
06083,,,,,,,5.280452907407407,0.03437363888888889
06085,,,,,,,2.6928466310679613,0.03113375
06087,,,,,,,6.155082888888889,0.035118500000000004
06089,,,,,,,2.974290858974359,0.043597916666666674
06093,,,,,,,1.1438076923076923,0.04106425
06095,,,,,,,4.5786578888888885,0.03458733333333333
06097,,,,,,,3.4035784444444444,0.032436
06099,,,,,,,2.8185454264705885,0.045847125
06101,,,,,,,7.760995277777777,0.048107
06103,,,,,,,5.940216666666667,0.043616375
06105,,,,,,,0.44897413999999997,
06107,,,,,,,2.2800699122807018,0.0550195625
06109,,,,,,,,0.045027750000000005
06111,,,,,,,5.970065833333333,0.045403349999999995
06113,,,,,,,6.429966315789474,0.04188875
08001,,,,,,,2.8125237941176473,0.05251475
08003,,,,,,,1.0264107115384615,
08005,,,,,,,5.399199,0.050096375
08007,,,,,,,,0.03662175
08013,,,,,,,6.3973379999999995,0.04968525
08015,,,,,,,,0.05616725
08019,,,,,,,,0.056551125
08031,,,,,,,3.6714860821917807,0.051245125
08035,,,,,,,4.502339,0.05294
08041,,,,,,,5.671700666666667,0.0506955
08045,,,,,,,4.116966,0.050341875
08047,,,,,,,,0.053351499999999996
08049,,,,,,,,0.0498435
08051,,,,,,,,0.0534645
08057,,,,,,,0.9016702830188679,0.04939825
08059,,,,,,,,0.053800916666666664
08067,,,,,,,0.6035514042553192,0.048792916666666665
08069,,,,,,,1.155205,0.05195082142857143
08077,,,,,,,4.919395444444444,0.052741875
08083,,,,,,,0.13696415714285715,0.048453833333333335
08093,,,,,,,,0.05540875
08097,,,,,,,0.85089225,
08099,,,,,,,5.545491888888889,
08101,,,,,,,4.672654555555556,0.049424
08103,,,,,,,5.421373181818182,0.048297625
08111,,,,,,,0.12879158139534885,
08113,,,,,,,,0.05343975
08123,,,,,,,2.331032053763441,0.0472636
09001,,,,,,,5.729225868421052,0.0481378125
09003,,,,,,,4.816623,0.04419125
09005,,,,,,,1.3388407656249999,0.042789
09007,,,,,,,,0.04570175
09009,,,,,,,2.5884521304347823,0.043543625
09011,,,,,,,5.477889222222221,0.04518375
09013,,,,,,,,0.042977
09015,,,,,,,,0.0417465
10001,,,,,,,6.709916111111111,0.0453525
10003,,,,,,,3.433829198529412,0.0432769375
10005,,,,,,,6.194196444444445,0.043873375
11001,,,,,,,4.195704757731959,0.043125250000000004
12001,,,,,,,6.501198388888889,0.03743825
12003,,,,,,,7.886874,0.037927499999999996
12005,,,,,,,9.443755,0.0391305
12009,,,,,,,5.5941395555555555,0.040381625000000004
12011,,,,,,,3.2083148760330578,0.0378625
12017,,,,,,,0.8251527111111111,
12021,,,,,,,7.886717,0.03773975
12023,,,,,,,8.8258335,0.040205500000000005
12031,,,,,,,7.179701874999999,0.040460916666666666
12033,,,,,,,6.993321388888889,0.04133825
12035,,,,,,,,0.03902975
12047,,,,,,,8.680859,
12055,,,,,,,,0.03953025
12057,,,,,,,2.9810640566037736,0.0415764375
12059,,,,,,,8.8278805,0.03819625
12061,,,,,,,,0.038580249999999996
12069,,,,,,,,0.04125425
12071,,,,,,,6.08291892,0.039365625
12073,,,,,,,3.233449029411765,0.0381915
12077,,,,,,,,0.03492075
12081,,,,,,,,0.03861783333333333
12083,,,,,,,9.4296895,0.03953475
12085,,,,,,,6.242940666666666,0.0382595
12086,,,,,,,3.3251579444444443,0.03904725
12091,,,,,,,,0.040591249999999995
12095,,,,,,,6.423837907407408,0.0418085
12097,,,,,,,6.431464352941177,0.04119825
12099,,,,,,,6.826356740740741,0.03698175
12101,,,,,,,,0.041752375
12103,,,,,,,6.199088,0.04121675
12105,,,,,,,7.8173522222222225,0.040826125
12111,,,,,,,,0.038696999999999995
12113,,,,,,,8.5098275,0.041943
12115,,,,,,,6.990881454545455,0.03959158333333333
12117,,,,,,,7.4220049999999995,0.042076
12127,,,,,,,6.6983915,0.03795675
12129,,,,,,,0.5692694027777778,0.0368875
13021,,,,,,,3.7757386636363637,0.04165275
13049,,,,,,,0.3795936744186046,
13051,,,,,,,8.239079764705883,0.040606
13055,,,,,,,,0.041575
13059,,,,,,,8.301622722222223,0.043686
13063,,,,,,,9.515782,
13067,,,,,,,8.771713357142858,0.042021
13069,,,,,,,3.1369337156862747,
13073,,,,,,,,0.04143475
13085,,,,,,,,0.042367749999999996
13089,,,,,,,2.0434485869565218,0.0394945
13095,,,,,,,9.075953,
13097,,,,,,,,0.04535025
13115,,,,,,,0.6617209420289855,
13121,,,,,,,8.330160809523809,0.045757
13127,,,,,,,7.258775529411764,0.039251999999999995
13135,,,,,,,9.611597647058824,0.0455965
13139,,,,,,,9.060319,
13151,,,,,,,6.9656625000000005,0.0447185
13153,,,,,,,8.285088823529412,
13185,,,,,,,8.794715235294118,
13213,,,,,,,0.3443168837209302,0.04547775
13215,,,,,,,3.6338567766990293,0.0419775
13231,,,,,,,,0.04688775
13245,,,,,,,3.2191880752688173,0.04206
13247,,,,,,,,0.04296075
13261,,,,,,,,0.04095325
13295,,,,,,,2.3926803647058823,
13303,,,,,,,8.688490653846154,
15001,,,,,,,1.733572913043478,
15003,,,,,,,2.2329853357664233,0.02863075
15009,,,,,,,1.041911475409836,
16001,,,,,,,2.8298952,0.04763716666666667
16005,,,,,,,6.258102833333333,0.04683075
16009,,,,,,,8.209795,
